Position_X1,Position_Y1,Position_X2,Position_Y2,Position_X3,Position_Y3,Velocity_X1,Velocity_Y1,Velocity_X2,Velocity_Y2,Velocity_X3,Velocity_Y3,Momentum_X1,Momentum_Y1,Momentum_X2,Momentum_Y2,Momentum_X3,Momentum_Y3
99473517453.03899,17071173982.176226,-99999998406.7619,-17099999894.748877,11062536412.582165,149493801097.38385,-1868.4291182640973,29843.912140894896,0.00565297763833329,-29999.999466853486,18836.229880624414,-1745.668306695443,-1.115825869427319e+28,1.782278433054243e+29,1.1243772522644913e+28,-5.966999893957158e+34,1.384086171628282e+27,-1.2827170717598115e+26
99454833161.85634,17369613103.585175,-99999998350.23213,-17399999889.41741,11250898711.388409,149476344414.3169,-1900.3759612723034,29838.439430570812,0.005749577074217868,-29999.99944940369,18817.86118806293,-1773.221607037253,-1.1349045240718196e+28,1.781951602793689e+29,1.1435908800619338e+28,-5.966999890486394e+34,1.382736440098864e+27,-1.3029632368509736e+26
99435829402.24362,17667997497.890884,-99999998292.73636,-17699999883.91145,11439077323.269037,149458612198.24652,-1932.280306527211,29832.877763455712,0.005846046614020395,-29999.999431690245,18799.55464471891,-1800.6816847935638,-1.1539577990580504e+28,1.7816194600335752e+29,1.1627786715286566e+28,-5.966999886963189e+34,1.3813912752939455e+27,-1.3231409019863106e+26
99416506599.17834,17966326275.52544,-99999998234.2759,-17999999878.22835,11627072869.716227,149440605381.3986,-1964.1415094831366,29827.227491919868,0.0059423843363380436,-29999.999413714188,18781.30987557063,-1828.0491025066583,-1.1729853094633293e+28,1.7812820258174545e+29,1.1819402444976367e+28,-5.966999883387752e+34,1.3800506496569298e+27,-1.3432504805218924e+26
99396865184.08351,18264598550.444637,-99999998174.85205,-18299999872.365494,11814885968.471933,149422324890.37354,-1995.9589301382791,29821.488973109786,0.006038588333291469,-29999.999395476567,18763.12650883339,-1855.3244178633536,-1.1919866730785804e+28,1.7809393214741165e+29,1.2010752194916732e+28,-5.966999879760289e+34,1.3787145358690774e+27,-1.3632923822459922e+26
99376905594.78214,18562813440.175735,-99999998114.46617,-18599999866.32026,12002517233.560266,149403771646.19492,-2027.731933088406,29815.662568887627,0.006134656710687344,-29999.999376978452,18745.00417592326,-1882.5081837494301,-1.2109615104403961e+28,1.7805913686139693e+29,1.2201832197557126e+28,-5.966999876081014e+34,1.377382906846841e+27,-1.3832670134190812e+26
99356628275.45125,18860970065.864613,-99999998053.1196,-18899999860.090042,12189967275.3195,149384946564.35742,-2059.4598875794627,29809.74864577004,0.006230587588177639,-29999.999358220924,18726.94251142127,-1909.6009483033117,-1.2299094448624552e+28,1.780238189125387e+29,1.2392638712885323e+28,-5.966999872350141e+34,1.376055735739235e+27,-1.4031747768132735e+26
99336033676.57545,19159067552.32231,-99999997990.81372,-19199999853.672253,12377236700.433712,149365850554.8744,-2091.142167559098,29803.747574866455,0.0063263790994156355,-29999.999339205075,18708.941153038144,-1936.603254969009,-1.2488301024662935e+28,1.7798798051710247e+29,1.2583168028737698e+28,-5.966999868567889e+34,1.3747329959252427e+27,-1.4230160717512277e+26
99315122254.89986,19457105028.070976,-99999997927.54993,-19499999847.064304,12564326111.964094,149346484522.3247,-2122.7781517270996,29797.65973181683,0.0064220293922086415,-29999.999319932012,18690.99974157946,-1963.5156425483356,-1.2677231122114239e+28,1.779516239184101e+29,1.2773416461102987e+28,-5.966999864734477e+34,1.3734146610112586e+27,-1.442791294144517e+26
99293894473.38258,19755081625.389145,-99999997863.32964,-19799999840.263626,12751236109.379889,149326849365.89923,-2154.367223584731,29791.485496728896,0.006517536628667399,-29999.99930040286,18673.117920911332,-1990.3386452524128,-1.2865881059248016e+28,1.7791475138646497e+29,1.2963380354419456e+28,-5.9669998608501285e+34,1.3721007048285646e+27,-1.4625008365314729e+26
99272350801.14674,20052996480.356434,-99999997798.15427,-20099999833.267654,12937967288.589003,149306945979.44672,-2185.9087714829675,29785.225254114885,0.00661289898535216,-29999.999280618747,18655.295337926535,-2017.072792752471,-1.3054247183296284e+28,1.778773652175741e+29,1.3153056081865446e+28,-5.966999856915068e+34,1.3707911014308418e+27,-1.4821450881145157e+26
99250491713.43192,20350848732.897583,-99999997732.02528,-20399999826.07384,13124520241.968267,149286775251.5192,-2217.40218866962,29778.879392827817,0.006708114653415416,-29999.99926058083,18637.53164251111,-2043.7186102299606,-1.3242325870734972e+28,1.7783946773396774e+29,1.3342440045643262e+28,-5.966999852929526e+34,1.3694858250917162e+27,-1.501724434796975e+26
99228317691.54521,20648637526.825863,-99999997664.94414,-20699999818.67965,13310895558.39338,149266338065.4169,-2248.846873335349,29772.4483059973,0.006803181838741264,-29999.999240290264,18619.826487511396,-2070.2766184259826,-1.3430113527558703e+28,1.7780106128341588e+29,1.3531528677256374e+28,-5.966999848893733e+34,1.3681848503023373e+27,-1.521239259219412e+26
99205829222.81186,20946362009.885838,-99999997596.91232,-20999999811.082554,13497093823.268494,149245635299.23264,-2280.2422286585543,29765.932390964903,0.006898098762081401,-29999.999219748228,18602.179528701537,-2096.747333690053,-1.3617606589548888e+28,1.777621482388424e+29,1.3720318437779906e+28,-5.966999844807922e+34,1.366888151768989e+27,-1.5406899407954509e+26
99183026800.52527,21244021333.795486,-99999997527.93134,-21299999803.280037,13683115618.55551,149224667825.89572,-2311.587662849146,29759.33204921913,0.00699286365918772,-29999.999198955906,18584.5904247514,-2123.131268028206,-1.3804801522535102e+28,1.7772273099793666e+29,1.3908805818124375e+28,-5.966999840672329e+34,1.365595704410733e+27,-1.5600768557471257e+26
99159910923.89677,21541614654.287678,-99999997458.0027,-21599999795.269596,13868961522.803024,149203436513.21545,-2342.882589191184,29752.647686329976,0.007087474780941515,-29999.999177914495,18567.05883719495,-2149.428929150452,-1.399169482264975e+28,1.7768281198276264e+29,1.4096987339292672e+28,-5.966999836487193e+34,1.3643074833570847e+27,-1.579400377139752e+26
99136482098.00487,21839141131.150978,-99999997387.12796,-21899999787.04874,14054632111.174974,149181942223.92395,-2374.126426084389,29745.879711883117,0.007181930393479267,-29999.999156625207,18549.58443039902,-2175.6408205175985,-1.4178283016575973e+28,1.7764239363936598e+29,1.428485955263026e+28,-5.966999832252754e+34,1.36302346394572e+27,-1.5986608749163312e+26
99112740833.74402,22136599928.26981,-99999997315.30865,-22199999778.614994,14240127955.478964,149160185815.71878,-2405.31859708452,29739.02853941373,0.00727622877831501,-29999.999135089267,18532.16687153254,-2201.7674413874424,-1.4364562661788755e+28,1.776014784373788e+29,1.4472419040068554e+28,-5.966999827969255e+34,1.361743621720211e+27,-1.6178587159314928e+26
